priority,id,athleteName,sport,year,nationalityAsCurrentlyListed,personType,caseSourceUrl,sourceLocator,followupStatus,heldReason
81,usada-b95ab234ef5b,Daniel Lehr,舉重,2015,美國,Athlete,https://www.usada.org/sanction/daniel-lehr-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Lehr, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
82,usada-1205b7548666,Scott Hisaka,舉重,2014,美國,Athlete,https://www.usada.org/sanction/scott-hisaka-accepts-doping-sanction/,U.S. Weightlifting Athlete Scott Hisaka Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
83,usada-c624acaae104,Andrew Vrabel,舉重,2013,美國,Athlete,https://www.usada.org/sanction/andrew-vrabel-accepts-doping-sanction/,"U.S. Weightlifting Athlete, Vrabel, Accepts Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
84,usada-03cbaa641dbb,Christian DesChamps,自行車,2023,美國,Athlete,https://www.usada.org/sanction/christian-deschamps-accepts-anti-doping-violation/,U.S. Cycling Athlete Christian DesChamps Accepts Sanction for Whereabouts Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
85,usada-16f2d1c7b31c,Frank Travieso,自行車,2023,美國,Athlete,https://www.usada.org/sanction/frank-travieso-accepts-doping-sanction/,U.S. Cycling Athlete Frank Travieso Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
86,usada-79470a91247a,Roger Whitham,自行車,2023,美國,Athlete,https://www.usada.org/sanction/roger-whitham-accepts-doping-sanction/,U.S. Cycling Athlete Roger Whitham Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
87,usada-8091f0d610a6,Ina Pfuhler,自行車,2023,美國,Athlete,https://www.usada.org/sanction/ina-pfuhler-accepts-doping-sanction/,U.S. Cycling Athlete Ina Pfuhler Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
88,usada-da041cee5592,John Frey,自行車,2023,美國,Athlete,https://www.usada.org/sanction/john-frey-accepts-doping-sanction/,U.S. Cycling Athlete John Frey Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
89,usada-06a9eec196b6,Lucas Howes,自行車,2022,美國,Athlete,https://www.usada.org/sanction/lucas-howes-accepts-doping-sanction/,U.S. BMX Athlete Lucas Howes Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
90,usada-5f1f4ed8c4a9,Alejandra Echeverri,自行車,2022,美國,Athlete,https://www.usada.org/sanction/alejandra-echeverri-accepts-doping-sanction/,U.S. Cycling Athlete Alejandra Echeverri Accepts 12-Month Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
91,usada-77feffe8dfef,Nelson Trujillo,自行車,2022,美國,Athlete,https://www.usada.org/sanction/nelson-trujillo-accepts-doping-sanction/,U.S. Cycling Athlete Nelson Trujillo Accepts Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
92,usada-a11b3068ba54,Hanncer Valdes,自行車,2022,美國,Athlete,https://www.usada.org/sanction/hanncer-valdes-receives-doping-sanction/,U.S. Cycling Athlete Hanncer Valdes Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
93,usada-d7d75c2efaf9,Sidney Andrew,自行車,2022,美國,Athlete,https://www.usada.org/sanction/sidney-andrew-accepts-doping-sanction/,U.S. Cycling Athlete Sidney Andrew Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
94,usada-f3337bee1348,Geony Borrego Lee,自行車,2022,美國,Athlete,https://www.usada.org/sanction/geony-borrego-accepts-doping-sanction/,U.S. Cycling Athlete Geony Borrego Lee Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
95,usada-1035e17c5288,Daniel Summerhill,自行車,2021,美國,Athlete,https://www.usada.org/sanction/daniel-summerhill-accepts-doping-sanction/,U.S. Cycling Athlete Daniel Summerhill Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
96,usada-669c86e73b92,McAben Prince,自行車,2021,美國,Athlete,https://www.usada.org/sanction/mcaben-receives-doping-sanction/,U.S. Cycling Athlete McAben Prince Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
97,usada-81ca863aa55c,Matt McWhirter,自行車,2021,美國,Athlete,https://www.usada.org/sanction/matt-mcwhirter-accepts-doping-sanction/,U.S. Cycling Athlete Matt McWhirter Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
98,usada-82602147d7d4,Brian Abers,自行車,2021,美國,Athlete,https://www.usada.org/sanction/brian-abers-accepts-doping-sanction/,U.S. Cycling Athlete Brian Abers Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
99,usada-ad29940bbb3c,"Jackson ""Huntley"" Nash",自行車,2021,美國,Athlete,https://www.usada.org/sanction/jackson-huntley-nash-receives-doping-sanction/,U.S. Cycling Athlete Jackson “Huntley” Nash Receives Lifetime Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
100,usada-4cabe0247888,Jeff Martin,自行車,2020,美國,Athlete,https://www.usada.org/sanction/jeff-martin-accepts-doping-sanction/,U.S. Cycling Athlete Jeff Martin Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
101,usada-707cea3b489e,Jonathan Wood,自行車,2019,美國,Athlete,https://www.usada.org/sanction/jonathan-wood-accepts-doping-sanction/,U.S. Cycling Athlete Jonathan Wood Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
102,usada-8a0a2483bd13,Barbara Gicquel,自行車,2019,美國,Athlete,https://www.usada.org/sanction/barbara-gicquel-accepts-doping-sanction-2/,U.S. Cycling Athlete Barbara Gicquel Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
103,usada-9dd4639a6aac,Robert Pelegrin,自行車,2019,美國,Athlete,https://www.usada.org/sanction/robert-pelegrin-accepts-doping-sanction/,U.S. Cycling Athlete Robert Pelegrin Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
104,usada-fe88676c094a,John Gleaves,自行車,2019,美國,Athlete,https://www.usada.org/sanction/john-gleaves-accepts-doping-sanction/,U.S. Cycling Athlete John Gleaves Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
105,usada-139867b729db,Steven Strickler,自行車,2018,美國,Athlete,https://www.usada.org/sanction/steven-strickler-receives-doping-sanction/,U.S. Cycling Athlete Steven Strickler Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
106,usada-1b4c6223d309,Michel Carrillo,自行車,2018,美國,Athlete,https://www.usada.org/sanction/michel-carrillo-receives-doping-sanction/,U.S. Cycling Athlete Michel Carrillo Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
107,usada-48b4a6a3d8f2,Carl Grove,自行車,2018,美國,Athlete,https://www.usada.org/sanction/carl-grove-accepts-public-warning/,U.S. Cycling Athlete Carl Grove Accepts Public Warning：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
108,usada-5b1d89435a80,Bruce Mazur,自行車,2018,美國,Athlete,https://www.usada.org/sanction/bruce-mazur-receives-doping-sanction/,U.S. Cycling Athlete Bruce Mazur Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
109,usada-671281fb69ce,Ty Kurth,自行車,2018,美國,Athlete,https://www.usada.org/sanction/ty-kurth-accepts-doping-sanction/,U.S. Cycling Athlete Ty Kurth Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
110,usada-7892ab1bda15,Ira Sorensen,自行車,2018,美國,Athlete,https://www.usada.org/sanction/ira-sorensen-accepts-doping-sanction/,U.S. Cycling Athlete Ira Sorensen Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
111,usada-998b9264b440,Mijail Gonzalez,自行車,2018,美國,Athlete,https://www.usada.org/sanction/mijail-gonzalez-accepts-doping-sanction/,U.S. Cycling Athlete Mijail Gonzalez Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
112,usada-9c2bd61dbab6,Raul Diaz,自行車,2018,美國,Athlete,https://www.usada.org/sanction/raul-diaz-accepts-doping-sanction/,U.S. Cycling Athlete Raul Diaz Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
113,usada-a54b4661de47,Enrique Lopez,自行車,2018,美國,Athlete,https://www.usada.org/sanction/enrique-lopez-receives-doping-sanction/,U.S. Cycling Athlete Enrique Lopez Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
114,usada-a7c95fd980c0,Jennifer Pate,自行車,2018,美國,Athlete,https://www.usada.org/sanction/jennifer-pate-accepts-doping-sanction/,U.S. Cycling Athlete Jennifer Pate Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
115,usada-acd5a54c3768,David Pate,自行車,2018,美國,Athlete,https://www.usada.org/sanction/david-pate-receives-doping-sanction/,U.S. Cycling Athlete David Pate Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
116,usada-d75ed8b5f7e7,Joseph Baratto,自行車,2018,美國,Athlete,https://www.usada.org/sanction/joseph-baratto-accepts-doping-sanction/,U.S. Cycling Athlete Joseph Baratto Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
117,usada-e6341e3462ec,Stephen Bedford,自行車,2018,美國,Athlete,https://www.usada.org/sanction/stephen-bedford-accepts-doping-sanction/,U.S. Cycling Athlete Stephen Bedford Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
118,usada-e833e68d19e3,Scott Gross,自行車,2018,美國,Athlete,https://www.usada.org/sanction/scott-gross-accepts-doping-sanction/,U.S. Cycling Athlete Scott Gross Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
119,usada-ea0049989423,Jeff Tanski,自行車,2018,美國,Athlete,https://www.usada.org/sanction/jeff-tanski-receives-doping-sanction/,U.S. Cycling Athlete Jeff Tanski Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
120,usada-2c9f4748c39c,Jay Henderson,自行車,2017,美國,Athlete,https://www.usada.org/sanction/jay-henderson-accepts-doping-sanction/,U.S. Cycling Athlete Jay Henderson Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
121,usada-5dd19e96b68c,Craig Webb,自行車,2017,美國,Athlete,https://www.usada.org/sanction/craig-webb-accepts-doping-sanction/,"U.S. Cycling Athlete Craig Webb, of Traverse City, Mich., Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
122,usada-7ecfb208518e,Roger Ainslie,自行車,2017,美國,Athlete,https://www.usada.org/sanction/roger-ainslie-accepts-doping-sanction/,U.S. Cycling Athlete Roger Ainslie Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
123,usada-870d48eb51f7,John Schiefer,自行車,2017,美國,Athlete,https://www.usada.org/sanction/john-schiefer-accepts-doping-sanction/,"U.S. Cycling Athlete, John Schiefer, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
124,usada-a190ab7e50ab,Scot Harvey,自行車,2017,美國,Athlete,https://www.usada.org/sanction/scot-harvey-accepts-doping-sanction/,"U.S. Cycling Athlete, Scot Harvey, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
125,usada-acfba90a8905,Amanda Geving,自行車,2017,美國,Athlete,https://www.usada.org/sanction/amanda-geving-accepts-doping-sanction/,"U.S. Cycling Athlete, Amanda Geving, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
126,usada-b16d0fb75234,Barry Miller,自行車,2017,美國,Athlete,https://www.usada.org/sanction/barry-miller-accepts-doping-sanction/,U.S. Cycling Athlete Barry Miller Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
127,usada-c42379b4285c,Daniel Frazier,自行車,2017,美國,Athlete,https://www.usada.org/sanction/daniel-frazier-accepts-doping-sanction/,U.S. Cycling Athlete Daniel Frazier Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
128,usada-dd1a97e9431d,Shaun Moffett,自行車,2017,美國,Athlete,https://www.usada.org/sanction/shaun-moffett-accepts-doping-sanction/,U.S. Cycling Athlete Shaun Moffett Accepts Sanction for Anti-Doping Rule Violation：2018-04-24 原案全部個案實質段落；U.S. Cycling Athlete Shaun Moffett Accepts Additional Sanction for Violating Period of Ineligibility：2018-10-19 追加處分全部實質段落,not_in_previous_44,
129,usada-e6a03aa80344,David Less,自行車,2017,美國,Athlete,https://www.usada.org/sanction/david-less-accepts-doping-sanction/,U.S. Cycling Athlete David Less Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
130,usada-fe4d160648aa,Dylan Lima,自行車,2017,美國,Athlete,https://www.usada.org/sanction/dylan-lima-accepts-doping-sanction/,U.S. Cycling Athlete Dylan Lima Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
131,usada-359e0f8decd5,Jeff Schwab,自行車,2016,美國,Athlete,https://www.usada.org/sanction/jeff-schwab-accepts-doping-sanction/,"U.S. Cycling Athlete, Schwab, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
132,usada-38afed413abd,Buster Brown,自行車,2016,美國,Athlete,https://www.usada.org/sanction/buster-brown-accepts-doping-sanction/,U.S. Cycling Athlete Buster Brown Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
133,usada-6fde059a15f4,Mary Verrando-Higgins,自行車,2016,美國,Athlete,https://www.usada.org/sanction/mary-verrando-higgins-accepts-doping-sanction/,"U.S. Cycling Athlete, Verrando-Higgins, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
134,usada-8bd7326e338b,Tim Root,自行車,2016,美國,Athlete,https://www.usada.org/sanction/tim-root-receives-doping-sanction/,"U.S. Cycling Athlete, Root, Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
135,usada-9078b2b3f8b8,Shawn D'Aurelio,自行車,2016,美國,Athlete,https://www.usada.org/sanction/shawn-daurelio-accepts-sanction/,"U.S. Cycling Athlete, D’Aurelio, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
136,usada-b06931c0b392,Robert Baatz,自行車,2016,美國,Athlete,https://www.usada.org/sanction/robert-baatz-accepts-doping-sanction/,"U.S. Cycling Athlete, Baatz, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
137,usada-bdc4265e8819,Kimberly Ciolli,自行車,2016,美國,Athlete,https://www.usada.org/sanction/kimberly-ciolli-accepts-doping-sanction/,"U.S. Cycling Athlete, Ciolli, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
138,usada-32c2c6bdacff,Michael Buckley,自行車,2015,美國,Athlete,https://www.usada.org/sanction/michael-buckley-accepts-sanction/,"US Cycling Athlete, Buckley, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
139,usada-8ad943acd5b0,Jeffery Miller,自行車,2015,美國,Athlete,https://www.usada.org/sanction/jeffery-miller-accepts-sanction/,U.S. Cycling Athlete Jeffery Miller Accepts Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
140,usada-aebc5c3ff7f3,Vahe Aivazian,自行車,2010,美國,Athlete,https://www.usada.org/sanction/vahe-aivazian-accepts-doping-sanction/,U.S. Cycling Athlete Vahe Aivazian Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
141,usada-e05e2fe6db96,Thomas Luton,自行車,2010,美國,Athlete,https://www.usada.org/sanction/thomas-luton-receives-sanction/,"U.S. Cycling Athlete, Luton, Receives Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
142,usada-9aa5cea0cfe1,Tammy Thomas,自行車,2002,美國,Athlete,https://www.usada.org/sanction/u-s-cyclist-thomas-receives-lifetime-suspension-from-usada-for-positive-drug-test/,"U.S. Cyclist Thomas Receives Lifetime Suspension From USADA For Positive Drug Test：2002-08-30 原仲裁結果公告全部實質段落，至通用 USADA 介紹前；U.S. Cycling Athlete, Thomas, Granted a Reduced Sanction：2017-02-13 減刑公告全部實質段落",not_in_previous_44,
143,usada-25958bca1e21,Cary Cooper,田徑,2024,美國,Athlete,https://www.usada.org/sanction/cary-cooper-accepts-doping-sanction/,U.S. Track and Field Athlete Cary Cooper Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
144,usada-56c015d731e4,Johnny Maynard,田徑,2024,美國,Athlete,https://www.usada.org/sanction/johnny-maynard-accepts-doping-sanction/,U.S. Track and Field Athlete Johnny Maynard Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
145,usada-7774f20822ed,Robert Jerry Qualls,田徑,2024,美國,Athlete,https://www.usada.org/sanction/robert-qualls-accepts-doping-sanction/,U.S. Track & Field Athlete Robert Qualls Accepts Sanction for Anti-Doping Rule Violation：2024-06-26 公告全文：U.S. 標題、採樣物質、三年期間與成績取消；Track & Field Athlete Robert Jerry Qualls Accepts Additional Sanction for Violating Period of Ineligibility：2025-08-13 公告全文：兩場違規參賽、追加三個月與三十九個月總期間,not_in_previous_44,
146,usada-73473ebf3acd,Ana Irizarry,田徑,2022,美國,Athlete,https://www.usada.org/sanction/ana-irizarry-accepts-doping-sanction/,U.S. Track & Field Athlete Ana Irizarry Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
147,usada-091e5bf27388,Lindsey Scherf,田徑,2021,美國,Athlete,https://www.usada.org/sanction/lindsey-scherf-accepts-doping-sanction/,U.S. Track & Field Athlete Lindsey Scherf Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,held,採納年齡配對疑義。新下載 USADA 公告仍為 2022-11-29，內文稱 37 歲；World Athletics 出生日期 1986-09-18 推得當時 36 歲。原提案誤寫 2024 年公告。暫不解除本件國家待補證，不把來源差異稱為虛構案例。
148,usada-8644c327e2ca,Todd Davis,田徑,2019,美國,Athlete,https://www.usada.org/sanction/todd-davis-receives-doping-sanction/,U.S. Track and Field Athlete Todd Davis Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
149,usada-0c3ec7a2af1e,Scott McPherson,田徑,2017,美國,Athlete,https://www.usada.org/sanction/scott-mcpherson-receives-doping-sanction/,"U.S. Track & Field Athlete, Scott McPherson, Receives Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
150,usada-89c25ce0aa40,Darien Moore,田徑,2017,美國,Athlete,https://www.usada.org/sanction/darien-moore-accepts-doping-sanction/,"U.S. Track & Field Athlete, Darien Moore, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
151,usada-1198265168e2,Liz Palmer,田徑,2016,美國,Athlete,https://www.usada.org/sanction/liz-palmer-accepts-doping-sanction/,"U.S. Track & Field Athlete, Palmer, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
152,usada-55dafea87f5e,Kayla Bushey,田徑,2016,美國,Athlete,https://www.usada.org/sanction/kayla-bushey-accepts-doping-sanction/,"U.S. Track & Field Athlete, Kayla Bushey, Accepts Sanction for Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
153,usada-fcfbbcf8949b,Jonathan Sanford,田徑,2016,美國,Athlete,https://www.usada.org/sanction/jonathan-sanford-accepts-doping-sanction/,U.S. Track & Field Athlete Jonathan Sanford Accepts Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
154,usada-47db4d671c02,Vikas Patel,田徑,2015,美國,Athlete,https://www.usada.org/sanction/vikas-patel-accepts-doping-sanction/,U.S. Track & Field Athlete Vikas Patel Accepts Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
155,usada-4ab89c689116,Atlanta Westbrook,田徑,2015,美國,Athlete,https://www.usada.org/sanction/atlanta-westbrook-accepts-doping-sanction/,U.S. Track & Field Athlete Atlanta Westbrook Accepts Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
156,usada-5682bad4c39a,Royce Dates,田徑,2015,美國,Athlete,https://www.usada.org/sanction/royce-dates-accepts-doping-sanction/,U.S. Track & Field Athlete Royce Dates Accepts Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
157,usada-994755070e39,Kenna Wolter,田徑,2015,美國,Athlete,https://www.usada.org/sanction/kenna-wolter-accepts-doping-sanction/,U.S. Track & Field Athlete Kenna Wolter Accepts Sanction for Anti-Doping Rule Violations：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前,not_in_previous_44,
158,usada-1f56bc7e39f1,Nick Mossberg,田徑,2014,美國,Athlete,https://www.usada.org/sanction/nicholas-mossberg-accepts-doping-sanction/,"U.S. Track & Field Athlete, Mossberg, Accepts Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
159,usada-2368662f3457,Cliff Nielson,田徑,2014,美國,Athlete,https://www.usada.org/sanction/cliff-nielson-receives-doping-sanction/,"U.S. Track & Field Athlete, Cliff Nielson, Receives Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
160,usada-edde57057db6,Cody Bidlow,田徑,2013,美國,Athlete,https://www.usada.org/sanction/cody-bidlow-accepts-sanction/,"U.S. Track & Field Athlete, Bidlow, Accepts Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
161,usada-c0ec4fad5514,Thomas Cawley,田徑,2011,美國,Athlete,https://www.usada.org/sanction/thomas-cawley-accepts-doping-sanction/,"U.S. Track & Field Athlete, Cawley, Accepts Sanction for Non-Analytical Anti-Doping Rule Violation：個案公告標題及全部個案實質段落；含物質／規則、處分、日期與成績後果，止於通用教育資訊前",not_in_previous_44,
