id,name,year,sport,source_line,flags,status,status_scope,urls
150,Lu Bin,1994,游泳,4093,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldaquatics.com/
151,Luc Leblanc,1994,自行車,4123,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.uci.org/
152,Yuan Yuan,1994,游泳,4153,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldaquatics.com/
153,中國女子游泳隊,1994,游泳,4183,缺個案專屬來源; 集體事件非單人案件,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldaquatics.com/
154,Francesco Conconi,1990,科學支援,4213,缺個案專屬來源; 支援人員非運動項目,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/
155,Ben Johnson,1988,田徑,4238,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
156,Carl Lewis,1988,田徑,4268,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
157,Daley Thompson,1988,田徑,4298,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
158,Mitko Grabnev,1988,舉重,4328,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.olympic.org/
159,Petra Felke,1988,田徑,4353,缺個案專屬來源; 指控或疑似須核實,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
160,Ulf Timmermann,1988,田徑,4383,缺個案專屬來源; 指控或疑似須核實,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
161,東德女子游泳隊,1988,游泳,4413,缺個案專屬來源; 集體事件非單人案件,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldaquatics.com/
162,Jürgen Schult,1986,田徑,4443,缺個案專屬來源; 指控或疑似須核實,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
163,Marita Koch,1985,田徑,4473,缺個案專屬來源; 指控或疑似須核實,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
164,Zlatan Vanev,1984,舉重,4503,缺個案專屬來源,無法查證需人工確認,未取得支持 Zlatan Vanev 在 1984 年因 Stanozolol 被禁十八個月的官方個案資料。其他年代或相似姓名的舉重禁賽不能直接套用。,https://www.iwf.net/
165,Jarmila Kratochvílová,1983,田徑,4528,缺個案專屬來源; 指控或疑似須核實,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
166,Joachim Kunz,1980,田徑,4558,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
167,Petra Schneider,1980,游泳,4588,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldaquatics.com/
168,Rica Reinisch,1980,游泳,4618,缺個案專屬來源,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldaquatics.com/
169,東德游泳系統,1976,游泳,4648,缺個案專屬來源; 集體事件非單人案件,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldaquatics.com/
170,Irina Press,1966,田徑,4678,缺個案專屬來源; 指控或疑似須核實,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
171,Tamara Press,1966,田徑,4708,缺個案專屬來源; 指控或疑似須核實,無法查證需人工確認,僅結構初篩，尚未逐案外查；不代表內容為假,https://www.wada-ama.org/ | https://www.worldathletics.org/
